summonerId,puuid
ZJvqf5VQ32qRb3WetdwYI6RUmM24MksKXO9EZg7gAQsSDZU,-AD0OOKjf4py0f_cub5wnmQFnNKrOSzom9DzSGwe9QU3xf54xOgCCCl-W_x7IVonGe0fQvvMylsR-Q
OmnnqxQ8Xi3pJdD6CCeJpJXH8MGGXVJxW7-Grx06WNYeNAVM,qfuLuX5uCBLMH2Sf99bnG2JqiirXJuRrtBRnv_WAB4OwgHd99jL01qTCf0Nq38aOcQMK4hQmXBk89A
uBA6aJHfYtZOykXibC7aCXacrVQyKIsyMrxPj7DvEtzxmBs,9ZXZ2HBxMWFU1EvkCNWQvQUTn3CB6IdBjxhrs3hco9nLVuWX7SLNgngdxpEZ24HbTDaJt6o0oPv8WQ
K9zBqerDSg4vCe0qzC6pZpuE6Bduz2uYtXcfoG4vansUHdg,qGthX6iGJ62dzdsLmrvHwm_uavdVY5vl_UaSwwEzL6uaxbN5vlXR3sprkwDBt9J9zYFuTsDbcDcBXg
7ahQdarR64KzBjEgWmcxxqfK_3y7tpYQEAGU16df3rdLzrM,Nap4x6MArY7Lg_54QPgSGOI0uHOTARQBUrczvFs4sH0MDXlClQVsEZ34AhC_5YV6HCuVmo9G1pnzzg
4bpCMH4dC_R9bNinchCz4HQzgTDi6QX8fKHYjzyRzV9VE2uvdb_kdBXf8w,ME9yigWg3IdCNZzxjGnvN-nnSCsf1nqhUAFRRqvVrbrEqnlfh1VSxE6ht09N7CuvPIxCwAWdnVakJw
I0_uADJQCrt2W6QU6p_vYweLJ9yg19xWa5X-ukCy4eg6-XmNFLcmDwK4Iw,S8wVky_yZysa4AaUFGxuwFyT7pwSWgcQ2yZoIcmcFUHz2FgZTOQrhSgJ9L0dBEZipBpuVZlROaxLsQ
sOcjlBde_KFT6kZwBH04-YzCKVEh4Difk6_npHS8JKzY58I,uigv1PX_-leu4rbu3KY-IFnuRD_ySM_IcICrEV5WJeU5SUBus72lT-JQmD5r5UBIuI7NiFyHJUjTBQ
0rbBj9wtnDXX2eFu4luh_ZZ9D83mNmY90_5V_5V6Q0ZI63s,n4jE1Lt2vHiPj9YqZDXevXAtYlqQ8GvyRsIF4_8s4XsLA-wC3bTVcJxADalvpbdY3MUR5HeK-NkMNw
vMf0ZxSG059aIB_M5VH1Q0QjzGPW2rOSHj1C7LSXnQUcdR4,SaH5kSb66QIfdp38m-IwUAaPwArYvF_UBpsmEWjFHNBh7gIOGUSRC8PxarVRuUWQ9MTHHo7JW-AhHQ
FVXMSCFF2InEMjjmBqWq4ezlHi1qWtpt7ratzdICmUjWnyTWoawbk_a9Dw,PFLzdn91ZB6S-Wum58GUfQ5cYaCLVt0jgQwXv_GJ287QVh6fL5KRVRXVR4ZNUQBv9eUXqeCAviVHpg
OjDgKnNAdDf6Sj5BAXaMMs4p4J4KIcsy8PQC10N2h5-aEMhyy5ZOhXLVwA,yreTX2sPnMxzmdI9UhyKag__dJIvRbDZKg_xv93EnewW7PYiwwQgFSpABXc1GmOPxNq31nL7NK_AeA
LAGPES30nTHiqwM1l6hgzhBSi5PnhasKgkXGd-2QfKex4gM,TJ3ZxI6boIEThNS3jkXbFjVPgOhPd6MQUdddlJFSle9McAjM2EnYLEY9uMOs-p2g2QLHvIatRP7wRg
ku17VhsWCGsdXGJ0WeyvAuqvQ6DN7Ms0gRGgzgl54cgHR_M,Byzzj5Z7XqzfkIqwNK0tJFd4bR5eUVKh8wYS88nA0zap9sO-aF_01JGf3csTlMYPVorUV3XAY1RkAg
1M1lnYl-7lzYFpaDUgbU8RQhv5kBOvkFEHP1-RD4F4iNhTOq,sTK7ETvG7P8bG-b0w9MVd1ELZ5QvFAfkk-UeKvkZIbe2yiBWeUX4o4BrgpOLfM0g25sDDbWYzyEaLg
9YVyGchgYNNhOZvTDBwbPodD-MqjTk9dnWBzUyT4t0o57cI,sfyAZhBTk3MesId3VXQzyjKAthiWj6S-yC1Lf5OeV99TvqEpZj1z5oA5Zi0vl_oaz6_iOTaTf1WP1w
